street_num,street_name,zip,emissions,property_type,system_size,cost,cost_reduced,break_even,energy_production,savings,emissions_reduction,trees
1850,52 STREET,11204,630676.39,Multifamily Housing,42.86,257160,51689,6,48772,10242,33580,90
1865,52 STREET,11204,424874.87,Multifamily Housing,14.92,104440,23029,7,16978,3565,11689,31
1824,53 STREET,11204,586407.57,K-12 School,42.63,255780,51412,6,49553,10406,34118,91
1690,60 STREET,11204,956100.74,Education,35.65,231725,49010,7,40567,8519,27931,75
1638,63 STREET,11204,196983.03,Other,188.41,1083358,324683,8,223619,46960,153963,411
2402,63 STREET,11204,521834.17,Multifamily Housing,45.81,274860,55247,6,54371,11418,37435,100
2214,64 STREET,11204,461185.01,Multifamily Housing,30.4,197600,41792,6,35709,7499,24586,66
1827,65 STREET,11204,936832.34,Multifamily Housing,21.01,136565,28883,7,23908,5021,16461,44
2402,65 STREET,11204,998627.91,Multifamily Housing,55.71,334260,71863,6,64758,13599,44586,119
1751,67 STREET,11204,990118.06,Multifamily Housing,59.16,354960,78849,6,68768,14441,47347,126
10,AVENUE P,11204,778253.83,Multifamily Housing,52.01,312060,64370,6,61093,12830,42063,112
80,AVENUE P,11204,1004822.9,Multifamily Housing,88.92,511290,131610,7,103361,21706,71165,190
130,AVENUE P,11204,781340.3,Multifamily Housing,53.65,321900,67691,6,62363,13096,42937,115
135,AVENUE P,11204,685395.13,Multifamily Housing,39.18,254670,53863,6,45543,9564,31357,84
209,AVENUE P,11204,693419.95,Multifamily Housing,45.29,271740,54620,6,53754,11288,37010,99
6224,BAY PARKWAY,11204,617404.56,Multifamily Housing,35.65,231725,49010,6,41440,8702,28531,76
6801,BAY PARKWAY,11204,1419159.67,Multifamily Housing,40.21,241260,48493,6,46740,9815,32181,86
7000,BAY PARKWAY,11204,1122263.14,Multifamily Housing,60.19,361140,80935,6,71438,15002,49185,131
7402,BAY PARKWAY,11204,790820.18,Multifamily Housing,28.93,188045,39772,7,33274,6988,22910,61
2101,BAY RIDGE PARKWAY,11204,392951.94,Multifamily Housing,29.54,192010,40610,7,33976,7135,23393,62
1599,WEST 10 STREET,11204,736630.56,Multifamily Housing,46.89,281340,56549,6,53931,11326,37132,99
1514,WEST 11 STREET,11204,525736.36,Multifamily Housing,23.16,150540,31839,6,26921,5653,18535,49
1402,WEST 4 STREET,11204,811212.94,Multifamily Housing,50.89,305340,62102,6,59777,12553,41157,110
1411,WEST 4 STREET,11204,802041.71,Multifamily Housing,57.07,342420,74617,6,65640,13784,45194,121
1388,WEST 6 STREET,11204,478755.85,Multifamily Housing,24.54,159510,33736,6,28525,5990,19640,52
1315,WEST 7 STREET,11204,642890,Multifamily Housing,30.83,200395,42384,6,35837,7526,24674,66
1590,WEST 8 STREET,11204,640288.55,Multifamily Housing,41.85,251100,50471,6,49159,10323,33846,90
1,CARLTON AVENUE,11205,208248.65,Other,119.71,688333,191362,7,140616,29529,96815,258
167,CLERMONT AVENUE,11205,1076186.53,Multifamily Housing,108.76,625370,170112,7,127754,26828,87959,235
181,CLERMONT AVENUE,11205,781891.46,Multifamily Housing,41.68,250080,50266,6,47429,9960,32655,87
165,CLINTON AVENUE,11205,1158992.16,Multifamily Housing,48.48,290880,58467,6,55760,11710,38391,102
185,CLINTON AVENUE,11205,8471394.69,Multifamily Housing,152.59,877393,255170,8,177371,37248,122121,326
196,CLINTON AVENUE,11205,807906.01,Multifamily Housing,58.64,351840,77796,7,65293,13712,44955,120
210,CLINTON AVENUE,11205,2241153.22,Multifamily Housing,37.03,240695,50907,6,43497,9134,29948,80
